hhid,loginc,college,jchoice
1,11.593,0,171
2,10.99,1,66
3,11.425,0,110
4,11.393,0,22
5,10.565,0,27
6,10.449,0,29
7,11.221,0,160
8,12.397,0,185
9,10.716,0,30
10,11.158,1,170
11,10.545,0,80
12,11.575,1,146
13,10.416,0,17
14,11.612,1,150
15,11.554,0,176
16,11.131,1,90
17,11.449,0,198
18,10.892,1,135
19,11.169,0,83
20,10.588,0,8
21,11.137,1,140
22,11.705,1,172
23,11.43,0,177
24,10.938,1,103
25,10.746,1,58
26,11.146,1,98
27,11.199,0,72
28,10.771,0,127
29,10.373,0,137
30,11.443,1,130
31,11.545,0,186
32,11.282,0,168
33,11.156,1,135
34,11.622,1,151
35,11.083,1,97
36,10.539,0,33
37,10.932,1,38
38,11.335,1,63
39,9.9314,0,2
40,11.079,1,173
41,11.625,1,187
42,11.512,1,48
43,11.581,0,168
44,11.355,1,93
45,10.599,0,107
46,10.671,0,140
47,12.015,1,199
48,11.219,0,135
49,10.804,0,51
50,10.527,0,3
51,10.294,0,11
52,11.984,1,145
53,11.319,0,144
54,10.347,0,16
55,11.475,0,84
56,11.327,0,160
57,11.323,1,142
58,11.801,0,142
59,11.392,1,124
60,10.611,1,75
61,12.094,0,200
62,11.865,0,145
63,11.778,1,139
64,11.287,0,173
65,11.779,0,130
66,11.849,1,168
67,10.65,1,111
68,10.49,1,69
69,11.739,1,59
70,10.88,1,69
71,11.092,1,13
72,11.665,0,140
73,11.254,0,62
74,11.542,1,164
75,11.165,0,40
76,10.084,0,11
77,10.782,1,83
78,11.075,0,60
79,11.84,1,196
80,11.199,1,73
81,11.274,1,91
82,11.282,1,112
83,11.137,1,30
84,11.043,0,124
85,10.84,0,83
86,10.8,1,95
87,11.119,0,146
88,11.777,1,173
89,10.479,1,25
90,11.738,1,177
91,10.935,0,64
92,11.408,1,179
93,11.277,0,163
94,10.314,1,47
95,11.575,0,127
96,10.262,0,55
97,10.524,1,14
98,11.153,1,95
99,11.441,0,147
100,11.626,1,132
101,11.399,0,199
102,11.502,1,190
103,10.367,1,44
104,11.577,0,38
105,11.703,1,177
106,10.408,1,57
107,11.514,0,168
108,11.236,1,154
109,11.642,1,176
110,11.262,1,166
111,11.521,0,151
112,10.91,0,97
113,10.678,1,147
114,11.783,1,129
115,11.512,0,200
116,11.65,1,152
117,11.358,1,53
118,11.375,1,56
119,11.145,1,150
120,10.936,0,134
121,10.967,0,54
122,11.148,0,158
123,10.703,0,143
124,11.727,0,118
125,11.497,1,162
126,10.996,1,36
127,11.133,1,114
128,11.192,1,172
129,9.9822,0,5
130,10.778,0,97
131,10.105,1,31
132,11.043,1,129
133,12.073,1,165
134,11.667,0,180
135,11.224,1,182
136,10.731,0,55
137,11.787,1,182
138,11.734,0,184
139,11.188,1,97
140,10.914,1,59
141,11.294,1,84
142,10.033,0,20
143,11.238,0,163
144,11.038,0,62
145,11.441,0,71
146,10.414,0,9
147,10.818,0,27
148,10.372,1,73
149,11.994,1,197
150,11.498,0,139
151,11.845,0,150
152,11.115,1,176
153,11.068,1,107
154,11.192,0,85
155,11.68,0,85
156,11.849,1,119
157,10.731,0,41
158,11.201,1,70
159,11.867,1,167
160,11.289,1,133
161,10.867,0,138
162,11.169,0,86
163,10.433,1,11
164,11.591,1,181
165,11.402,0,155
166,10.546,0,7
167,10.793,0,62
168,10.739,0,8
169,10.839,1,145
170,10.557,1,38
171,11.466,0,79
172,10.973,1,63
173,11.066,1,3
174,11.253,0,165
175,12.053,1,120
176,11.196,1,80
177,11,1,101
178,10.769,0,24
179,10.589,0,127
180,10.731,0,26
181,11.36,1,102
182,11.136,0,44
183,11.747,1,140
184,11.289,0,73
185,10.225,0,168
186,10.772,1,46
187,10.918,0,163
188,10.394,1,117
189,10.677,1,10
190,10.165,1,9
191,11.394,0,122
192,10.834,0,70
193,10.865,1,150
194,10.43,1,35
195,10.543,1,77
196,10.895,1,104
197,10.962,0,86
198,10.458,0,4
199,11.309,1,186
200,11.551,1,190
201,11.404,1,170
202,9.9432,1,116
203,12.011,1,197
204,10.586,1,62
205,10.36,0,152
206,11.178,0,20
207,11.407,1,136
208,10.968,1,91
209,11.758,1,54
210,12.174,1,119
211,10.994,0,67
212,11.308,1,103
213,10.868,0,57
214,10.78,0,90
215,10.755,0,66
216,11.309,1,80
217,11.085,0,153
218,11.829,1,200
219,10.245,1,57
220,10.863,0,83
221,11.001,0,44
222,11.847,0,200
223,10.786,0,48
224,11.583,1,124
225,11.118,0,60
226,11.07,1,131
227,11.376,1,166
228,11.148,1,171
229,11.745,1,196
230,11.726,1,132
231,10.358,0,27
232,10.618,1,66
233,11.464,1,78
234,10.526,0,25
235,11.664,0,83
236,11.828,1,193
237,11.114,0,118
238,11.632,1,118
239,11.234,0,175
240,11.22,1,116
241,11.206,0,31
242,10.826,1,130
243,11.436,1,63
244,10.594,0,31
245,10.757,1,164
246,10.532,1,4
247,10.174,0,2
248,11.31,0,148
249,11.425,1,139
250,10.326,1,10
251,10.714,0,78
252,11.351,1,77
253,11.721,0,98
254,11.405,1,68
255,11.366,1,131
256,10.679,1,53
257,12.303,1,192
258,11.388,1,69
259,10.383,0,90
260,12.056,1,193
261,10.626,1,81
262,11.501,1,151
263,10.474,1,33
264,10.734,1,83
265,10.694,1,33
266,11.175,0,95
267,11.376,1,190
268,11.233,0,92
269,11.244,0,176
270,11.489,0,66
271,10.801,0,9
272,11.746,0,183
273,10.469,1,2
274,11.019,0,28
275,11.262,1,129
276,11.668,1,192
277,10.353,0,13
278,11.594,0,190
279,12.029,0,114
280,11.647,1,186
281,11.478,1,61
