jid,schqual,price,sharej,iv
1,-1.7191,-1.9509,0.005,-1.5632
2,-1.7018,-1.7294,0.005,-1.5637
3,-1.6845,-1.5966,0.005,-1.564
4,-1.6673,-2.1106,0.005,-1.5641
5,-1.65,-1.739,0.005,-1.5641
6,-1.6327,-2.0711,0.005,-1.564
7,-1.6154,-1.9686,0.005,-1.5636
8,-1.5982,-1.4856,0.005,-1.5631
9,-1.5809,-0.96353,0.005,-1.5625
10,-1.5636,-1.8243,0.005,-1.5617
11,-1.5463,-2.3857,0.005,-1.5607
12,-1.529,-1.8227,0.005,-1.5595
13,-1.5118,-2.1146,0.005,-1.5582
14,-1.4945,-1.7853,0.005,-1.5568
15,-1.4772,-1.8566,0.005,-1.5552
16,-1.4599,-1.522,0.005,-1.5534
17,-1.4427,-1.9909,0.005,-1.5514
18,-1.4254,-1.1098,0.005,-1.5493
19,-1.4081,-1.2772,0.005,-1.547
20,-1.3908,-2.2095,0.005,-1.5446
21,-1.3736,-2.0232,0.005,-1.5419
22,-1.3563,-1.5219,0.005,-1.5391
23,-1.339,-1.5406,0.005,-1.5362
24,-1.3217,-2.24,0.005,-1.5331
25,-1.3044,-1.1368,0.005,-1.5298
26,-1.2872,-0.77542,0.005,-1.5263
27,-1.2699,-1.8645,0.005,-1.5227
28,-1.2526,-2.8643,0.005,-1.5189
29,-1.2353,-1.5792,0.005,-1.5149
30,-1.2181,-1.8039,0.005,-1.5108
31,-1.2008,-1.3509,0.005,-1.5065
32,-1.1835,-1.5959,0.005,-1.502
33,-1.1662,-1.9917,0.005,-1.4973
34,-1.1489,-1.7725,0.005,-1.4925
35,-1.1317,-1.7559,0.005,-1.4875
36,-1.1144,-1.8081,0.005,-1.4823
37,-1.0971,-2.0266,0.005,-1.4769
38,-1.0798,-1.7545,0.005,-1.4714
39,-1.0626,-1.7406,0.005,-1.4657
40,-1.0453,-0.061583,0.005,-1.4598
41,-1.028,-1.716,0.005,-1.4537
42,-1.0107,-1.5729,0.005,-1.4475
43,-0.99345,-0.78862,0.005,-1.441
44,-0.97617,-1.481,0.005,-1.4344
45,-0.95889,-1.6657,0.005,-1.4276
46,-0.94162,-0.73045,0.005,-1.4207
47,-0.92434,-1.7827,0.005,-1.4135
48,-0.90706,-1.293,0.005,-1.4062
49,-0.88978,-2.2691,0.005,-1.3987
50,-0.87251,-1.7983,0.005,-1.391
51,-0.85523,-1.7918,0.005,-1.3831
52,-0.83795,-0.74138,0.005,-1.375
53,-0.82068,-1.9838,0.005,-1.3668
54,-0.8034,-0.52167,0.005,-1.3583
55,-0.78612,-1.6237,0.005,-1.3497
56,-0.76884,-1.6718,0.005,-1.3409
57,-0.75157,-0.95773,0.005,-1.3319
58,-0.73429,-1.788,0.005,-1.3227
59,-0.71701,-0.92942,0.005,-1.3133
60,-0.69973,-2.1116,0.005,-1.3037
61,-0.68246,-1.7321,0.005,-1.294
62,-0.66518,-1.6296,0.005,-1.284
63,-0.6479,-1.0652,0.005,-1.2738
64,-0.63062,-0.77503,0.005,-1.2635
65,-0.61335,-2.0654,0.005,-1.2529
66,-0.59607,-1.258,0.005,-1.2422
67,-0.57879,-0.79574,0.005,-1.2313
68,-0.56151,-1.6831,0.005,-1.2201
69,-0.54424,-1.1908,0.005,-1.2088
70,-0.52696,-1.5265,0.005,-1.1973
71,-0.50968,-1.3347,0.005,-1.1855
72,-0.49241,-1.2028,0.005,-1.1736
73,-0.47513,-0.94944,0.005,-1.1615
74,-0.45785,-0.86453,0.005,-1.1491
75,-0.44057,-1.9851,0.005,-1.1366
76,-0.4233,-1.6041,0.005,-1.1238
77,-0.40602,-1.7628,0.005,-1.1109
78,-0.38874,-1.3336,0.005,-1.0977
79,-0.37146,-1.7363,0.005,-1.0843
80,-0.35419,-1.138,0.005,-1.0708
81,-0.33691,-0.87362,0.005,-1.057
82,-0.31963,-1.1816,0.005,-1.043
83,-0.30235,-1.6631,0.005,-1.0288
84,-0.28508,-0.96621,0.005,-1.0143
85,-0.2678,-1.8876,0.005,-0.9997
86,-0.25052,-1.4547,0.005,-0.98485
87,-0.23324,-0.81838,0.005,-0.96978
88,-0.21597,-1.2511,0.005,-0.95449
89,-0.19869,-1.7977,0.005,-0.93898
90,-0.18141,-0.76743,0.005,-0.92325
91,-0.16414,-1.1412,0.005,-0.9073
92,-0.14686,-1.3237,0.005,-0.89113
